name,apCost,description,category,extra,role,order
the bitter gift,9,"You touch a creature without self- awareness and bestow them with the bitter gift of selfhood. You must recite a statement at the table about what it means to be alive. It can be a passage from a book, a poem, or something else that expresses ideas about the meaning of life.
<br><br>
The target of the spell falls unconscious for the next minute as their body rapidly experiences 1 million years of evolution toward self-awareness. The evolutionary process alters the animal's physical features and capabilities in ways you may not expect.
<br><br>
The new creature is thrown into
the world with competency in one language, a sense of self-identity, and a vague awareness of its past life, including a few specific memories of significant moments. Another way of putting it: they are now a person like you.
<br><br>
The creature knows you gave it life.",legendary,,DOCTOR,4
cosmopolitan,0,"You are an expert in the study of cosmopolitan cultures, particularly in cities and nations. If you are falsely presenting as a citizen or official of a city or nation and your authenticity
is challenged, you may use a local mannerism to fool common people.
<br><br>
You must come up with the mannerism and describe it to the table. It can be
a gesture, like a special handshake,
a common saying, or some other idiosyncrasy from the people you are pretending to belong to.",charisma,,SPY,1
silver tongue,1,"
<div>
  <div class=""ap"">1</div>
 If you are caught doing something prohibited or mischevious, you can use clever thinking to evade suspicion.
<br><br>
You must appeal to something that your adversaries find agreeable. The Guide will choose one of these as the right answer, and secretly write it down:
<br><br>
<strong>orders.</strong> Someone with authority commanded you to do it.
<strong>ignorance.</strong> You didn't know better. It was a genuine mixup!
<strong>graft.</strong> You offer something of value from your inventory to make this go away.
<br><br>
You must guess the right approach, and describe how you make the appeal.
</div>
<div>
  <div class=""ap"">1</div>
 For 1 extra AP, the Guide eliminates one of the incorrect choices.
After you give your story, the Guide will reveal the choice they wrote. If you guess correctly, your adversaries will leave you alone.
</div>",charisma,VARIABLE,SPY,2
don't you know who i am?,1,"You impress common folk and minions by pretending to be someone notable.
<br><br>
You initiate the ruse by giving a special wink to a party member. Then, each of your nearby party members must proclaim an incredible fact that creates your identity. For example, a party member might begin by calling attention to you as a fabled writer, a storied warrior, or a sports hero. The other members of the party should build on this fake identity until everyone has contributed. Each claim should be more fantastical than the previous one.
<br><br>
When everyone is finished, you draw a captive audience of nearby creatures who crowd around you.",charisma,,SPY,3
sneak attack ,0,"Once per round, when a nearby foe attacks a creature other than you, you may exploit their focus. You may immediately move behind them to perform one of the following actions:
<div>
  <div class=""ap"">1</div>
   You make a basic attack on them.
</div> 
<div>
  <div class=""ap"">1</div>
   You incapacitate a commoner or minion by touching one of their pressure points. They fall to the ground unconscious for the next 10 minutes, or until they are harmed.
</div> 
<div>
  <div class=""ap""> 3 </div>
  You kill a commoner or minion instantly. Describe how you take them out.
</div> ",termination,VARIABLE,SPY,1
poison  ,0,"You combine basic goods from any well-stocked general store to create poison. You create enough poison for one use. You can apply it to weapons, put it in drinks or meals, or serve it to a creature directly. Regardless of delivery method, each use of the poison can only affect one creature. Choose any combination of effects:
<div>
  <span class=""ap"">1</span>
   <strong>blue.</strong> The victim falls asleep for 1 hour.
</div> 
<div>
  <span class=""ap"">2</span>
  <strong>white.</strong> The victim writhes in extreme pain for 1 hour and is unable to speak.
</div> 
<div>
  <span class=""ap"">3</span>
  <strong>purple.</strong> The victim collapses and is paralyzed for the next day.
</div> 
<div>
  <span class=""ap"">4</span>
   <strong>black.</strong> Commoners and minions are instantly killed. Bosses are hit for 10 HP.
</div> 
<div>
  <span class=""ap"">6</span>
   <strong>clear.</strong> The victim experiences no symptoms and dies 1 week later. (This does not work on bosses.)
</div> ",termination,VAR,SPY,2
death hand ,3,"magic item. A single-shot hand cannon
that uses a silent magic charge to propel a slug. The Death Hand can sense your target and guide your hand to make a perfect shot on any target you can see in your scene, including those that are far away. The shot hits for 6 HP. It instantly kills commoners and minions.
<div>
  <div class=""ap"">3</div>
   <strong>black.</strong> You must spend 3 AP and one turn each time you recharge the weapon.
</div> ",termination,,SPY,3
bounty,5,"You place a bounty on a commoner or minion's head for their capture or death. You must offer an item of value as a reward in addition to the AP cost of this ability that is at least rare in quality. Bounty hunters will compete for the prize.
<br><br>
If for capture, you may specify where they are to be taken. If you mark them for death, you may require any manner of proof that the deed was done.
<br><br>
<div class=""roll-list"">
20: The deed will be done by the end of your play session.
<hr/>
11-19: The deed will be done by the end of your next play session.
<hr/>
1-10: The target learns of the bounty and places one on your head. You are not sure who bounty hunters will reach first.
<div>",termination,ROLL,SPY,4
strap,0,"Unless you are actively searched by another creature, you can conceal up to two weapons in your clothing without being noticed, provided you’re wearing enough to reasonably conceal them.",concealment,,SPY,1
disguise,1,"Any time you are in a room like
a bedroom, armory, or office, you may find objects to use to put together
a convincing disguise. Depending
on where you are, the disguise will offer at least one signature element
of your deception, like a uniform, a membership insignia, or a style of dress. The disguise automatically fools commoners, but minions and bosses may question you.",concealment,,SPY,2
blink pack,3,"<strong>magic item.</strong> A magical messenger pack
with a hidden switch in the clasp. When activated, the switch turns the bag’s mouth into a portal to a shadow plane where secret objects may be stored. When the switch is deactivated, the bag functions normally. Spy items stored in the pack do not count against your inventory limit. (This allows you to carry more than 12 items.)
<br><br>
The pack is paired with a magic amulet that has a button on it.
<br><br>
You press the button on the amulet. The Blink Pack is teleported to your hands from wherever it is in the omniverse.",concealment,ITEM,SPY,3
needful hilt,0,"<strong>magic item.</strong> A hilt to a basic weapon, like
a sword or dagger.
<br><br>
If you imagine a common weapon while holding it, the hilt instantly morphs into that weapon. It hits for 2 HP in any form. When you no longer need the weapon, it reverts to its form as a simple hilt.",concealment,ITEM,SPY,4
shadow,2,"<strong>magic item.</strong> A magic cape that makes
everything but your shadow invisible.
<br><br> 
When you activate the cape's ability, it shimmers and sparkles briefly before you and everything you are carrying vanishes. You are invisible
for the next minute, but you still cast a shadow when you move. The shadow disappears when you are still.
<br><br>
While invisible, common folk and minions won't notice you passing by unless you make a lot of noise. If you attack while invisible, the cape deactivates and you become visible again.",concealment,ITEM,SPY,5
tracker,0,"<strong>magic item.</strong> A pair of devices that allows
you to track something.
<br><br>
The kit includes a magical tag the size of a tiny bead that is sticky and can be applied to most surfaces. The tracker is linked to a magic compass that shows the direction the tag is in.
<br><br>
The arrow on the compass is black. It turns gold when the tag is in your scene, and begins to vibrate softly.",surveillance,ITEM,SPY,1
spyglasses,0,"<strong>magic item.</strong> Eyeglasses that let you see in natural darkness as if it were daylight. The glasses can be permanently upgraded with these capabilities:
<br><br>
<div>
  <span class=""ap"">3</span>
  Add the ability to magnify the details of small nearby objects, or zoom to see faraway things clearly.
</div> 
<div>
  <span class=""ap"">4</span>
  Add infrared vision that lets you see an outline of things that are generating heat nearby. This ability works through walls.
</div> 
<div>
  <span class=""ap"">6</span>
  Add the ability to detect whether something is an illusion. Illusions you detect appear to flicker and distort.
</div> 

Each of these modes can be toggled while wearing the Spyglasses by turning a dial on the side of the device.",surveillance,VAR,SPY,2
cloner,0,"<strong>magic item.</strong> A magic amulet that allows you to eavesdrop on a communications device. 
<br><br>
When holding the Cloner next
to a spell or object that transmits communications, you may clone its signal. You share a telepathic link with the Cloner, and you automatically hear any messages being transmitted through the cloned device in your mind. You may only clone one device at a time; pairing the Cloner with a new device will break the link with the previous one.",surveillance,ITEM,SPY,3
seeker,0,"<strong>magic item.</strong> The Seeker is a levitating
orb as large as the palm of your hand that responds to your commands telepathically. It shimmers and is almost invisible, but it makes a low humming noise as it moves.
<br><br>
<div>
  <span class=""ap"">0</span>
  You can make the Seeker travel just out of your sight or to an adjacent room. It can tell you how many creatures are in a space, but not what kinds.
</div> 
<div>
  <span class=""ap"">1</span>
  The Seeker gives you a rudimentary mental map of an adjacent room. The Guide will draw an outline of the room, highlight any major features (like columns or crevasses), and mark the exact location of any creatures.
</div> ",surveillance,VAR,SPY,4
dossier,0,"<strong>magic item.</strong> A magic book that copies
things. You can make a Dossier of any size — from a pocket-sized folio to a coffee table book.
<br><br>
You can use the book to copy
any kind of writing or drawing that is pressed against its pages. For instance, if you press a handwritten letter against one of the Dossier’s pages, a legible but imperfect copy will appear inside.",stenography,ITEM,SPY,1
mimic,2,"magic item. A magical pen that
guides your hand to copy any writer's personal style. On the end opposite the pen tip is a magical stamp that can create forgeries of official seals. By bringing the Mimic within reach
of a handwritten document, it automatically learns how to reproduce the document's handwriting styles, signatures, and seals.
<br><br>
You use Mimic to create a single document forged in any style the pen has previously learned, including the reproduction of any official stamps or seals.",stenography,ITEM,SPY,2
listener,1,"magic item. A small magic gem that
can be activated to record sounds nearby for up to 1 hour. If you have the Cloner (p. 78), you can insert the Listener into a socket on the amulet. When they are paired, you can have the Listener record sounds that the Cloner intercepts. The device can record up to 1 hour of sound, and you can squeeze
it softly to have it audibly play back
the sound. Using the device to record makes it completely forget the previous recording.
<br><br>
You activate the Listener. It records anything it hears, paying particular attention to spoken words.",stenography,ITEM,SPY,3
crypto,3,"<strong>magic item.</strong> Crypto is a ring of opaque
glass that glows when brought near glyphs, like writing on a piece of paper or stone etchings.
<br><br>
You activate Crypto to translate languages or decode secret messages. The ring reads any object you bring within reach. A translation of the source material emerges, scrolling around the band as you read it. When it is finished translating something, the ring deactivates.",stenography,ITEM,SPY,4
feather hook,0,"<strong>magic item.</strong> A magical grappling hook that
gently glides itself upward, like a balloon, until it reaches and attaches to a ledge. You can tie any length of rope to the hook.
<br><br>
Activate the Feather Hook.",infiltration,ITEM,SPY,1
bricolage,1,"Your skills of improvisation are unparalleled. When you are in a room with everyday objects at your disposal, you may hastily craft one of the following items in less than 1 minute:
<br><br>
<strong>tripwire.</strong> You create a wire attached to an auditory
<br><br>
 <strong>trigger</strong> that makes a loud noise when someone crosses it.
<br><br>
<strong> poison trap.</strong> If you have poison, you may create a small floor trap that poisons the first creature to step on it.
<br><br>
<strong>simple weapon.</strong> You fashion a makeshift weapon that hits for 2 HP.
<br><br>
<strong>periscope.</strong> You can make a small periscope that allows you to look over objects and around doors that have a bit of clearance.",infiltration,,SPY,2
needful key,2,"<strong>magic item.</strong> A key that magically senses
the mechanism of a physical lock and morphs itself to fit it perfectly. In its default form, the device is a simple key with no teeth. By twisting the key's handle, you can make it revert to its default form.
<br><br>
The key morphs to fit a new
lock. You must spend 2 AP each time you make the key morph to fit a new lock. The key remembers locks it has previously defeated and can morph to fit them for no AP cost.",infiltration,ITEM,SPY,3
blueprint,2,"<strong>magic item.</strong> A magical folio that reveals
the floorplan of a building.
<br><br>
You press the Blueprint against an interior wall of a building. Magic ink appears, revealing the building's layout for the entire floor you are currently on.
<br><br>
The Guide will draw you a basic map
of the building, including an outline showing the shape of rooms and hallways and marks showing where doors and windows are. The Blueprint only works on artificial structures. (It does not reveal the layout of caves or other natural systems.)
<br><br>
If you also have the Seeker (p. 78), the Blueprint can show its location in real time, as well as the location of any nearby creatures that the Seeker detects.",infiltration,ITEM,SPY,4
persona,0,"You carefully prepare a convincing alternate identity. You cannot create a persona of an existing person or the identity of someone who holds an exclusive position, like the ruler of an existing nation.
<br><br>
Each persona consists of a wardrobe, credentials, and a backstory. You may create and describe each element of the persona.
<br><br>
When you use your alternate identity, you must outwardly present yourself as that person by wearing their costume.
<br><br>
<div>
  <span class=""ap"">2</span>
   You create the persona of a common person of average means, like a farmer, artisan, traveling salesperson, priest, soldier, or teacher.
When using a commoner's identity, you can effortlessly blend into crowds and travel unnoticed in public spaces.
</div> 
<div>
  <span class=""ap"">4</span>
   You create the persona of an officer (someone in a position of formal authority), like a politician, judge, military officer, guild leader, or ship captain.
<br><br>
When using an officer's identity, you may:
<ul>
<li>Enter restricted areas that your rank and affiliation gives you access to.</li>
<li>Give mundane orders to people you outrank, like running errands or keeping watch.</li>
</ul>
</div> 
<div>
  <span class=""ap"">6</span>
You create the persona of an aristocrat, like a prominent socialite, wealthy business owner, ambassador, or governor.
When using an aristocrat's identity, you may:
<br><br>
When using an officer's identity, you may:
<ul>
<li>Enter exclusive spaces for the rich and famous, like private clubs or balls.</li>
<li> Seek audience with local rulers.</li>
<li> Spend 1 AP for a get out of jail free card that pardons you for minor crimes</li>
</ul>
</div> ",impersonation,VAR,SPY,1
shadow cutter,3,"<strong>magic item.<strong> The Shadow Cutter is a wearable bracelet that you can stretch to form a hoop large enough to crawl through.
<br><br>
When you press the device against a solid surface, it can be activated to create a hole of an equal circumference, up to 1 meter deep. When you're done using it, it collapses to its original size.
<br><br>
When activated, a low buzzing sound can be heard by all creatures nearby. The material behind the device is instantly teleported to a random shadow plane.",legendary,ITEM,SPY,1
the artifice,2,"<strong>magic item.</strong> A small mask that projects an illusion, transforming your image and voice. The mask records the appearance and voice of every nearby creature you encounter and remembers them forever.
<br><br>
You activate the mask, projecting a convincing illusion that gives you the appearance of any creature it remembers. Additionally, it changes your voice to sound like the creature you're impersonating. It is capable of fooling everyone but the impersonated creature's closest friends and family.",legendary,,SPY,2
nightcrawler,4,"You are a legendary charmer and intelligence gatherer, capable of quickly extracting sensitive information.
<br><br>
When you infiltrate a person's office, encampment, or home, you discover sensitive information about them. The Guide chooses two things from this list to reveal to you:
<ul>
<li> The identity of an important associate.</li>
<li>A location they will travel to, with the time and date.</li>
<li>A secret that would embarrass them if revealed.</li>
<li>Their financial situation, including who they owe their largest debt to or who owes them the largest debt.</li>
<li> Their true feelings about you or your party.</li>
<li> Their strongest allegiance, whether to a government, guild, or other organization.</li>
</ul>
The Guide will imagine the specifics of the information you receive. They will also choose the document that reveals it, like a receipt, a diary, or a letter.",legendary,,SPY,3
magic tricks,0,"You produce a tiny magical effect to surprise, delight, or confuse those around you. Choose any combination of these effects each time you use this ability:
<br><br>
<strong>light.</strong> You create a harmless display of light, like a flickering flame or a pattern of sparks. You can also snuff out or ignite small light sources like torches.
<br><br>
<strong>sound.</strong> You create a small, brief sound effect, like a wind chime, an audience clapping, or someone whispering.<br><br>
<strong>smell.</strong> You conjure a smell of any kind, like a freshly baked pie or a cesspool.<br><br>
<strong>touch.</strong> You give one or more nearby creatures a gentle physical sensation, like someone tapping them on the shoulder, a chill breeze, or the feeling of goosebumps.",misdirection,,MAGICIAN,1
mesmerize,1,"You dazzle a nearby commoner or minion with an optical illusion. (The creature must be able to see.) Until you leave the area, the creature cannot move, take actions, or respond to conversation. The spell ends if the creature is harmed.",misdirection,,MAGICIAN,2
overthere,1,"You make a suggestive gesture, redirecting a nearby creature that is currently hostile toward you. The target redirects its anger toward a different adversary. (The spell does not work
if the target has no other enemies nearby.) This effect is canceled if you harm the creature.",misdirection,,MAGICIAN,3
mirage,3,"You conjure a major illusion
no larger than 100 meters in any dimension. The illusion can be of anything that fits within the space,
and you can program it with looping mechanics. For instance, you can create the illusion of an oasis, a pile of treasure, or a lumbering giant guarding their territory.<br><br>
If a creature touches or passes through the illusion, they will no longer see
it. Creatures with the ability to detect magic may discover the deception.",misdirection,,MAGICIAN,4
invisibility,0,"<div>
  <span class=""ap"">3</span> You make a nearby creature or object invisible for the next minute. If it is a creature, everything they are wearing and carrying also becomes invisible. If a creature attacks while invisible, they reappear.
</div> 
<div>
  <span class=""ap"">X</span>Add 1 AP for each creature or object you target with the spell beyond the first.
</div> 
",misdirection,VAR,MAGICIAN,5
splitting image,1,"You vanish momentarily, reappearing with two illusory duplicates at your side. Your duplicates travel alongside you and perfectly mimic all of your movements.
<br><br>
If a creature attempts to target you, the Guide must flip a coin. If it turns up ""heads,"" you are targeted; on ""tails"" one of your duplicates is targeted. If one of your duplicates takes damage, it disappears.",mannequins,,MAGICIAN,1
phantom menace,2,"You read the mind of a nearby NPC and produce an illusion of a creature they find extremely irritating. Only you and the target of the spell can see and hear the illusion.<br><br>
For the next 10 minutes, the illusion relentlessly mocks and taunts your target, provoking their full attention.<br><br>
You may control the illusion directly and have it manipulate small objects. For example, you can have it steal an item from the target and lead them on a chase. Or you may let the illusion go
wild, allowing the Guide to narrate its behavior.",mannequins,,MAGICIAN,2
illusory creature,0,"<div>
  <span class=""ap"">3</span> Imagine a creature. You create a convincing illusion of it that appears nearby. It looks, moves, and sounds like the creature you imagined. It even feels real to the touch. The illusion has 6 HP and vanishes at 0 HP.<br><br>
The illusion can behave independently and travel away from you. You can program the illusion's routines. For example, you may have it clean a house, patrol an area, pretend to be busy, or give it a combination of tasks and behaviors. You can also set rules for it, like ""Don't harm anyone for
any reason"" or ""Don't let anyone pass through this door.""<br><br>
You share a telepathic bond with the illusion when it is nearby, and you can control it directly during your turn. You can make it move, act, and speak your lines. It can hold and use weapons to make basic attacks.<br><br>
After 1 day, the illusion will automatically travel out of sight of other creatures and then vanish.
</div> 
<div>
  <span class=""ap"">4</span> This spell costs 4 AP instead if you use it to create an illusion of a creature that already exists. You create a perfect double of the creature that looks and sounds like them. It can fool everyone but the creature's closest friends and family.
</div> ",mannequins,VAR,MAGICIAN,3
magic eye,1,"You briefly gain the ability to see beyond physical reality. For the next hour, you are able to see the following:<br><br>
<strong>magic.</strong> A faint aura surrounds any person or object currently affected by magic.<br><br>
<strong>illusion.</strong> Any illusory creature or object slightly flickers, but you do not see its true form.",clairvoyance,,MAGICIAN,1
whisper,0,"<div>
  <span class=""ap"">0</span> You telepathically send a message to a nearby creature. They know you are speaking from within their mind, but they hear you as if you were speaking out loud.
</div> 
<div>
  <span class=""ap"">1</span>You create a link with the creature that allows them to respond to your whisper. If they respond, you may have a telepathic conversation with them for the next minute.
</div> ",clairvoyance,VAR,MAGICIAN,2
message,0,"<div>
  <span class=""ap"">1</span> Choose a creature you have met before. You must know the general area where they are presently located. You may communicate with each other telepathically for up to 1 minute.
</div> 
<div>
  <span class=""ap"">4</span> You can create the telepathic link, even if you do not know where the creature is located. They can be
</div> ",clairvoyance,VAR,MAGICIAN,3
interpret,1,"You enter the mind of a nearby creature and temporarily learn their language for the next 10 minutes.<br><br>
When you cast this spell, you may
also attempt to permanently learn the creature's language by playing a game of charades. (This happens at the table out of character.) The Guide will write down a word or phrase on a piece of paper and then secretly give it to you.<br><br>
Start a timer. You have 1 minute to silently act out the word or phrase. If another player correctly guesses the word or phrase, the spell is successful.",clairvoyance,,MAGICIAN,4
insight,3,"You gaze into the mind of a nearby creature, discovering a prominent intention. Choose one effect each time you cast this spell:
<ul>
<li> You learn something the creature intends to do in the next 10 minutes.</li> 
<li> You learn something the creature intends to accomplish over a long period of time.</li> 
<li>  You learn something they intend to do to a specific creature of your choice.</li> 
</ul>",clairvoyance,,MAGICIAN,5
little bird,1,"You summon an illusory bird somewhere nearby that keeps watch over an area that it can see. It remains there until you dismiss it. You may only have one Little Bird at a time.<br><br>
You share a telepathic link with the bird. It will message you when it witnesses something you specify, like a specific creature entering a room or a door opening. The bird will wake you up to tell you what it sees if you are sleeping.",conjuration,,MAGICIAN,1
helen's fantastic feast,4,"Imagine an elaborate feast of
any culinary style. You summon food and drink, your choice of furniture
(if necessary), and your choice of dinnerware and table decorations. You may summon enough to feed a party of up to 20 people. Consuming the meal restores 4 hit points.",conjuration,,MAGICIAN,2
monitor,2,"You summon a small illusory servant that hovers over your shoulder and follows you around for the remainder of your play session. The Monitor looks like a blooming flower with an eye in the center, and it's invisible except to creatures you designate. You can deploy the Monitor to places just beyond your sight. For instance, you can send it searching around a corner into another room.<br><br>
The Monitor can tell you how many creatures are in a space, but not what kinds. It also gives you a rudimentary mental map of spaces it travels through. For instance, if you send it into an adjacent room, you will know the rough size and shape of the room and any major features, like pillars or open pits.",conjuration,,MAGICIAN,3
shadow haven,5,"Place your hand on a dwelling
in the worldly plane. You instantly duplicate its interior inside of a shadow plane. The duplication looks and feels real to the touch, but it is an illusion; you cannot take its illusory parts out of the shadow plane.<br><br>
The dwelling can be as small as a shed or as large as a mansion or castle. The physical entrance to the dwelling in the worldly plane doubles as a secret portal to the shadow haven. You can grant or revoke access to anyone at any time. A creature that is aware of the haven and has permission to enter may choose to open the door to the portal by wishing it. Otherwise, the door functions normally as the entrance to the dwelling in the worldly plane.<br><br>
The shadow haven lasts permanently until it is dispelled, you dismiss it, or the spell is cast again. Any creatures inside when the spell ends are instantly expelled through the portal into the worldly plane.",conjuration,,MAGICIAN,4
bamboozle,1,"You make a nearby creature mildly confused about a specific subject until you leave the area. For example, you could make a merchant confused about the value of their goods, a guard confused about who is authorized to pass, or a dog confused about whether he is a good boy.The confusion is lifted if you push the deception too far, like trying to trade a rock for a priceless item.",mind control,,MAGICIAN,1
wren's delightful dream,1,"You whisper and wave your hand at a nearby creature. The next time the creature falls asleep, they experience a deeply comforting dream. They wake up feeling beloved and forget all of their grudges for the next week.",mind control,,MAGICIAN,2
perky profanation,0,"<div>
  <span class=""ap"">1</span> You curse a nearby creature for the next 10 minutes. The curse is lifted if the creature is harmed. Choose one:<br><br>
<strong>laughter.</strong> They double over in sustained laughter and can’t move. Everything they hear sounds hilarious to them.<br><br>
<strong>dance.</strong> They hear their favorite tune and start dancing like their life depends on it.<br><br>
<strong>mimicry.</strong> They begin to mimic a creature of your choice. For example, you can make them behave like housecats.
</div> 
<div>
  <span class=""ap"">4</span> You curse any number of commoners nearby.
</div> 
",mind control,VAR,MAGICIAN,3
fear,4,"You breach the mind of a nearby creature to seek their worst fear.
<div class=""roll-list"">
20: You learn the creature's worst fear. They become permanently haunted by it in every waking moment. Over time, their personality is destroyed, and they become unresponsive to others.
<hr/>
11-19: You learn the creature's worst fear. You may then conjure the image of this fear in their mind's eye, paralyzing them with dread for the next 10 minutes. They cannot act, except to flee danger.
<hr/>
6-10: You learn the creature's worst fear, but they reject you from their mind before you can conjure the fear.
<hr/>
2-5: You learn the creature's worst fear, but it paralyzes you with dread for the next 10 minutes. During this time, you are unable to use abilities.
<hr/>
1: When confronting the creature's fear, you become permanently haunted by it. You must choose an additional character flaw. You can only lift the fear by having the Liberate spell (p. 45) cast on you.
</div>",mind control,ROLL,MAGICIAN,4
scintillate,0,"You extend your fingers outward, and a streaking bolt of sparks shoots toward a target you can see. Roll the die to see if it hits the target successfully.<br><br>
You may make the bolt explode on contact with crackling energy, hitting the target for 2 HP. Or you can make the bolt a harmless firework that explodes in the air, creating a pattern of any shape and color.",mayhem,,MAGICIAN,1
bedazzle,4,"You summon four prismatic bolts that sparkle brilliantly. You may direct each bolt toward any target you can see.<br><br>
The bolts each hit for 2 HP. If all four hit a single creature, the creature is affected by your Mesmerize ability (p. 84).",mayhem,,MAGICIAN,2
loosen,2,"You twirl your finger as if you are unwinding a spool of yarn. Starting with a single creature nearby that you can see, you create a cascading wave of magic mischief that loosens anything fastened or tightened around nearby creatures. For example:
<ul>
<li> Bags become unclasped and spill out their contents.</li>
<li>Shoelaces become untied, belts unbuckled, and shirts unbuttoned.</li>
<li> Pets become unleashed.</li>
</ul>",mayhem,,MAGICIAN,3
chaos ball,3,"You summon a cherry-sized elastic ball in your hand. When you throw
the ball, it bounces off everything
it touches, avoiding creatures. Each time the ball bounces, it accelerates slightly, traveling faster and faster until it escapes into the atmosphere after 1 minute.<br><br>
The ball's brief reign of terror shatters pottery, glass, light furniture, and most other fragile things in your scene. What a shame.",mayhem,,MAGICIAN,4
control,8,"You dominate the mind of a nearby creature for the next hour.
The creature will do anything you verbally command them to do without exception or hesitation. When the spell ends, they remember everything that happened.<br><br>
This spell is cursed. If you use Control to harm another creature, you permanently forfeit your character and they become an NPC boss. The Guide will now play your character as a villain in the story.<br><br>
The Guide will inform you if your use of the spell will cause your character to become an NPC before you cast it; you must agree to forfeit your character, otherwise you may not cast Control to harm another creature.",legendary,,MAGICIAN,1
peerless pilot,5,"You conjure a fantastic hot air balloon from another dimension that can fit you and your party. You must be outdoors and standing in a clearing with room for the balloon to form.<br><br>
The balloon is 30 meters tall and can look like anything you want. It’s piloted by a small, illusory creature that can talk to you and your crew and take instructions. (The standard creature is a red panda wearing goggles, but you may choose any similarly sized creature you want.) The pilot remembers you and where you’ve been if you cast the spell again.<br><br>
The balloon is powered by a flaming sphere above the carriage that adjusts its intensity based on your commands. The balloon can soar as high as the tallest mountain peaks and move at up to 30 kilometers an hour. The carriage has 40 hit points, and the balloon has 10 hit points.<br><br>
You may dismiss the balloon at any time; it vanishes with its pilot and returns home.",legendary,,MAGICIAN,2
perfect gift,4,"You glimpse the mind of a nearby creature, discovering what stirs their heart. Then, you conjure an emotionally priceless gift for them.
You choose how the gift makes the creature feel once it is received. Choose one:<br><br>
<ul>
<li> They come to terms with the loss of a loved one, finding peace.</li> 
<li> They decide to repair a broken relationship in their life.</li> 
<li>  They become exuberantly happy for the next month.</li> 
<li>  They become obsessed with the gift, refusing to part with it for any reason.</li> 
<li>  They love you as an intimate friend and seek a closer relationship.
The Guide chooses the form of the gift to match the effect with the creature.</li> 
</ul>",legendary,,MAGICIAN,3
invasion,5,"You touch a sleeping NPC (the host) and enter its dream. You may take any willing party members who are nearby with you. Those invading the dream enter a trance. They cannot sense anything outside of the dream, even if they are harmed.<br><br>
You choose how you and your companions appear in the dream.
You may impersonate others while in the dream world. Once you enter, you create a new dream in the host's mind. The dream has two scenes.<br><br>
<strong>the suggestion.</strong> In the first scene, you meet the host and speak with them. You choose the setting.<br><br>
Here, you may try to convince the host to do something. For example, you might ask them to abandon a serious pursuit, to cut their family ties, or to give away their wealth.<br><br>
the trial. In the second dream sequence, the host's greatest fear manifests as a monster that seeks to kill them. The Guide will choose a monster that is proportionate to the severity of your suggestion. If you are trying to dramatically alter the host's life, the Guide may choose a monster of terrifying power.<br><br>
The rules for this fight are the same as outside of the dream, but you cannot die here. All players entering the dream have full health and 10 AP to use. You exit the dream immediately if you reach 0 HP.<br><br>
If you defeat the monster, the target will later wake up believing the dream was a revelation. They will set out to do what you suggested.<br><br>
If the monster kills the host in the dream, the spell ends. Everyone, including the host, wakes up.<br><br>
You may use your abilities within the dream the same way you use them in the outside world, but the effects are fictional and cannot leave the dream world. Any AP that you spend inside of the dream is recovered when you exit.",legendary,,MAGICIAN,4
magic strike,0,"<div>
  You must make an attack roll
  <span class=""ap"">0</span> You must be holding a pointed object like a wand, staff, or sword to use this spell. You use it to shoot a shimmering missile of force in a straight line at a target you can see, dealing 2 damage.
</div> 
<div>
  <span class=""ap"">2</span> You overload the missile, increasing its damage to 4 and hitting the target automatically. You do not need to roll the die if you overload the spell.
</div> ",evocation,VAR,WIZARD,1
kindle,0,"You rub your hands together, causing a flammable object you can see nearby to ignite in flame. The spell can ignite textiles, wood, paper, and other combustible material.<br><br>
This spell cannot be used directly on creatures, but it can be used to ignite flammable things they are wearing or carrying. Igniting something on a creature deals 1 damage to them.",evocation,,WIZARD,2
clap,2,"You clap your hands, creating
a thunderous wave of force in the direction you are facing. The wave
hits up to 3 nearby creatures for 2 HP. If affected creatures are the size of a horse or smaller, they are also knocked to the ground.",evocation,,WIZARD,3
telekinesis,0,"You move a nearby creature or object using only your mind.
<div>
  <span class=""ap"">1</span> You may move an object or creature no larger than an elephant.
If you move it gently, you can control it for up to 10 seconds. Or you may forcefully throw it up to 5 meters away and hit it for 2 HP.
</div> 
<div>
  <span class=""ap"">X</span> You may increase the power of this ability by spending additional
AP. For each AP you spend, you may increase the distance you can throw the creature by 5 meters, and the damage they take by 2 HP. (For example, if you spend 5 AP, you can throw a target 25 meters and deal 10 damage.)
</div> 
",evocation,VAR,WIZARD,4
last light,0,"
You must be holding a pointed object like a wand, staff, or sword to use this spell.
<div>
  <span class=""ap"">3</span>You momentarily channel a blinding beam of focused light in a straight line at a target you can see, dealing 6 damage. The light ignites anything flammable that it touches, melts a hole in steel objects, and sears organic matter.
</div> 
<div>
  <span class=""ap"">5</span> You overload the beam. It instantly kills commoners and minions and deals 12 damage to bosses. If Last Light kills the target, it disintegrates into ash.
</div> 
The beam created by Last Light can be deflected by mirrors.",evocation,VAR,WIZARD,5
